organization,district,timestamp,pm25_value,pm25_citywide,latitude,longitude,flag_ถนน,flag_ทางเท้า,flag_แสงสว่าง,flag_ความสะอาด,flag_ขยะ,flag_น้ำท่วม,flag_ระบายน้ำ,flag_จราจร,flag_สายไฟ,flag_ต้นไม้,flag_ความปลอดภัย,flag_สัตว์,flag_เสียง,flag_กลิ่น,flag_สะพาน,flag_คลอง,report_hour
"เขตห้วยขวาง,สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200)",ห้วยขวาง,2022-07-25T03:55:29.244Z,9.0,12.827586206896552,100.58238,13.79142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
"เขตวังทองหลาง,ฝ่ายโยธา เขตวังทองหลาง,ผอ.เขตวังทองหลาง (นายโครงการ),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร)",วังทองหลาง,2022-07-25T03:59:25.508Z,13.5,12.827586206896552,100.6078,13.7862,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
"เขตยานนาวา,สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส. กทม.),สำนักการโยธา กทม.",ยานนาวา,2022-07-25T04:05:56.679Z,20.0,12.827586206896552,100.54718,13.70698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4
"เขตห้วยขวาง,สำนักการระบายน้ำ กทม.,ฝ่ายโยธา เขตห้วยขวาง,กองระบบคลอง สำนักการระบายน้ำ,ผอ.เขตห้วยขวาง (นายไพฑูรย์),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร)",ห้วยขวาง,2022-07-25T04:17:08.381Z,9.0,12.827586206896552,100.56735,13.76158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4
"เขตบางกะปิ,สำนักงานตลาดกรุงเทพมหานคร,ผอ.เขตบางกะปิ (นายไพรัตน์),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",บางกะปิ,2022-07-25T04:20:35.445Z,12.0,12.827586206896552,100.6462,13.76654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
"เขตบางกะปิ,ฝ่ายโยธา เขตบางกะปิ,ผอ.เขตบางกะปิ (นายไพรัตน์),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",บางกะปิ,2022-07-25T04:26:26.557Z,12.0,12.827586206896552,100.61822,13.75271,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
"เขตยานนาวา,สน.บางโพงพาง,สำนักงานตำรวจแห่งชาติ (Royal Thai Police),กองบัญชาการตำรวจนครบาล (บช.น.),กองบังคับการตำรวจนครบาล 5 (บก.น.5),ผอ.เขตยานนาวา (น.ส.วรุณลักษม์),กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร)",ยานนาวา,2022-07-25T04:33:10.562Z,20.0,12.827586206896552,100.52614,13.68064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4
"เขตบางกะปิ,ฝ่ายโยธา เขตบางกะปิ,ผอ.เขตบางกะปิ (นายไพรัตน์),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",บางกะปิ,2022-07-25T04:46:18.194Z,12.0,12.827586206896552,100.61797,13.75204,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
"เขตบางขุนเทียน,ผอ.เขตบางขุนเทียน (นางภัสรา),กลุ่มกรุงธนใต้ (นายเฉลิมพล โชตินุชิต)",บางขุนเทียน,2022-07-25T04:57:08.433Z,24.0,12.827586206896552,100.42698,13.63322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4
"เขตปทุมวัน,ฝ่ายเทศกิจ เขตปทุมวัน,ผอ.เขตปทุมวัน (นายอิทธิพล อิงประสาร),กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร)",ปทุมวัน,2022-07-25T05:06:17.514Z,19.0,12.827586206896552,100.52827,13.73411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
"เขตธนบุรี,เขตคลองสาน,ฝ่ายเทศกิจ เขตคลองสาน,ผอ.เขตคลองสาน (ว่าที่ ร.ต.สรวุฒิ),ผอ.เขตธนบุรี (ว่าที่ ร.ต.เดชาธร),กลุ่มกรุงธนเหนือ (นายเฉลิมพล โชตินุชิต)",ธนบุรี,2022-07-25T05:12:46.245Z,15.5,12.827586206896552,100.49222,13.72325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
"สำนักงานเขตบางขุนเทียน,เขตบางขุนเทียน,สำนักการโยธา กทม.",บางขุนเทียน,2022-07-25T05:14:39.700Z,24.0,12.827586206896552,100.47313,13.61352,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
"เขตบางกะปิ,ฝ่ายรักษาความสะอาดฯ เขตบางกะปิ,ผอ.เขตบางกะปิ (นายไพรัตน์),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",บางกะปิ,2022-07-25T05:23:41.366Z,12.0,12.827586206896552,100.64665,13.77756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5
"เขตบางกะปิ,ฝ่ายโยธา เขตบางกะปิ,ผอ.เขตบางกะปิ (นายไพรัตน์),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",บางกะปิ,2022-07-25T05:31:39.144Z,12.0,12.827586206896552,100.61835,13.80061,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
"เขตปทุมวัน,สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส. กทม.),สำนักงานระบบขนส่ง สขส.สจส. กทม.,กองนโยบายและแผนงาน กน.สจส. กทม.,ผอ.เขตปทุมวัน (นายอิทธิพล อิงประสาร),กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร)",ปทุมวัน,2022-07-25T05:36:35.244Z,19.0,12.827586206896552,100.54725,13.74252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
"เขตบางกะปิ,สำนักการระบายน้ำ กทม.,ฝ่ายโยธา เขตบางกะปิ,ผอ.เขตบางกะปิ (นายไพรัตน์),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",บางกะปิ,2022-07-25T05:37:14.310Z,12.0,12.827586206896552,100.6277,13.74805,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5
"เขตปทุมวัน,สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส. กทม.),สำนักงานระบบขนส่ง สขส.สจส. กทม.,กองนโยบายและแผนงาน กน.สจส. กทม.,ผอ.เขตปทุมวัน (นายอิทธิพล อิงประสาร),กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร)",ปทุมวัน,2022-07-25T05:39:46.000Z,19.0,12.827586206896552,100.54715,13.74205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
"เขตบางขุนเทียน,ผอ.เขตบางขุนเทียน (นางภัสรา),กลุ่มกรุงธนใต้ (นายเฉลิมพล โชตินุชิต)",บางขุนเทียน,2022-07-25T05:56:59.283Z,24.0,12.827586206896552,100.43452,13.6194,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
"เขตห้วยขวาง,ฝ่ายรักษาความสะอาดฯ เขตห้วยขวาง",ห้วยขวาง,2022-07-25T06:13:57.028Z,9.0,12.827586206896552,100.57454,13.77235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
"เขตบางขุนเทียน,ผอ.เขตบางขุนเทียน (นางภัสรา),กลุ่มกรุงธนใต้ (นายเฉลิมพล โชตินุชิต)",บางขุนเทียน,2022-07-25T06:21:06.069Z,24.0,12.827586206896552,100.41368,13.61869,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6
"เขตยานนาวา,สน.บางโพงพาง,สำนักงานตำรวจแห่งชาติ (Royal Thai Police),กองบัญชาการตำรวจนครบาล (บช.น.),กองบังคับการตำรวจนครบาล 5 (บก.น.5),ผอ.เขตยานนาวา (น.ส.วรุณลักษม์),กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร)",ยานนาวา,2022-07-25T06:24:12.658Z,20.0,12.827586206896552,100.53824,13.69445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
"กระทรวงศึกษาธิการ,สน.ตลาดพลู,สำนักงานตำรวจแห่งชาติ (Royal Thai Police),กองบัญชาการตำรวจนครบาล (บช.น.),กองบังคับการตำรวจนครบาล 8 (บก.น.8),ผอ.เขตธนบุรี (ว่าที่ ร.ต.เดชาธร),เขตธนบุรี,กลุ่มกรุงธนเหนือ (นายเฉลิมพล โชตินุชิต)",ธนบุรี,2022-07-25T06:26:24.964Z,15.5,12.827586206896552,100.47704,13.72214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6
"เขตห้วยขวาง,สำนักการระบายน้ำ กทม.,สำนักการโยธา กทม.,การไฟฟ้านครหลวง เขตบางกะปิ,การไฟฟ้านครหลวง ฝ่ายบริหารโครงการ,การไฟฟ้านครหลวง MEA,กองระบบท่อระบายน้ำ สำนักการระบายน้ำ,กลุ่มประสานงานและติดตาม กทม.,กองแผนงานและประสานสาธารณูปโภค สำนักการโยธา (กผภ.สนย.) กทม.,สำนักงานก่อสร้างและบูรณะ สำนักการโยธา (สกบ.สนย.) กทม.,กลุ่มงานตรวจสอบระบบสาธารณูปโภค กองแผนงานและประสานสาธารณูปโภค (กผภ.สนย.),ศูนย์ก่อสร้างและบูรณะถนน 2 ส่วนก่อสร้างและบูรณะ 1 สำนักงานก่อสร้างและบูรณะ (สกบ.สนย.),รองปลัดฯ นายณรงค์ เรืองศรี",ห้วยขวาง,2022-07-25T06:33:03.821Z,9.0,12.827586206896552,100.58995,13.75293,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
"เขตพญาไท,ฝ่ายรักษาความสะอาดฯ เขตพญาไท,ผอ.เขตพญาไท (นายพัลลภ),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร)",พญาไท,2022-07-25T06:42:13.458Z,10.5,12.827586206896552,100.54186,13.77617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
"เขตบางขุนเทียน,ผอ.เขตบางขุนเทียน (นางภัสรา),กลุ่มกรุงธนใต้ (นายเฉลิมพล โชตินุชิต)",บางขุนเทียน,2022-07-25T06:48:54.292Z,24.0,12.827586206896552,100.44034,13.66266,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
"เขตบางขุนเทียน,สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200),การไฟฟ้านครหลวง เขตราษฎร์บูรณะ,การไฟฟ้านครหลวง MEA",บางขุนเทียน,2022-07-25T06:51:39.847Z,24.0,12.827586206896552,100.42555,13.62164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
"เขตห้วยขวาง,สำนักการโยธา กทม.,การไฟฟ้านครหลวง เขตบางกะปิ,การไฟฟ้านครหลวง MEA,กองแผนงานและประสานสาธารณูปโภค สำนักการโยธา (กผภ.สนย.) กทม.,สำนักงานก่อสร้างและบูรณะ สำนักการโยธา (สกบ.สนย.) กทม.",ห้วยขวาง,2022-07-25T06:58:13.163Z,9.0,12.827586206896552,100.56618,13.74869,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
"เขตพญาไท,สำนักการโยธา กทม.,ผอ.เขตพญาไท (นายพัลลภ),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร)",พญาไท,2022-07-25T07:04:28.725Z,10.5,12.827586206896552,100.53915,13.79512,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
"เขตบางขุนเทียน,ผอ.เขตบางขุนเทียน (นางภัสรา),กลุ่มกรุงธนใต้ (นายเฉลิมพล โชตินุชิต)",บางขุนเทียน,2022-07-25T07:07:52.658Z,24.0,12.827586206896552,100.41091,13.6175,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
"เขตดินแดง,ฝ่ายรายได้ เขตดินแดง,ผอ.เขตดินแดง (นายชูชาติ),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร)",ดินแดง,2022-07-25T07:13:43.855Z,18.5,12.827586206896552,100.55552,13.77134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
"เขตบางขุนเทียน,ผอ.เขตบางขุนเทียน (นางภัสรา),กลุ่มกรุงธนใต้ (นายเฉลิมพล โชตินุชิต)",บางขุนเทียน,2022-07-25T07:16:57.462Z,24.0,12.827586206896552,100.39636,13.62151,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
"เขตปทุมวัน,สน.ปทุมวัน,ฝ่ายเทศกิจ เขตปทุมวัน,สำนักงานตำรวจแห่งชาติ (Royal Thai Police),กองบัญชาการตำรวจนครบาล (บช.น.),กองบังคับการตำรวจนครบาล 6 (บก.น.6),ผอ.เขตปทุมวัน (นายอิทธิพล อิงประสาร),กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร)",ปทุมวัน,2022-07-25T07:21:11.254Z,19.0,12.827586206896552,100.52792,13.74685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
"เขตพญาไท,สน.บางซื่อ,ฝ่ายเทศกิจ เขตพญาไท,สำนักงานตำรวจแห่งชาติ (Royal Thai Police),กองบัญชาการตำรวจนครบาล (บช.น.),กองบังคับการตำรวจนครบาล 2 (บก.น.2),กรุงเทพโปร่งใส,ผอ.เขตพญาไท (นายพัลลภ),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร)",พญาไท,2022-07-25T07:22:45.351Z,10.5,12.827586206896552,100.54747,13.7908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
"เขตบางนา,กรมทางหลวง,ผอ.เขตบางนา (นางประภัสสร),กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร)",บางนา,2022-07-25T07:27:08.051Z,11.5,12.827586206896552,100.60682,13.67301,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
"สำนักการศึกษา,กรุงเทพโปร่งใส",บางกะปิ,2022-07-25T07:40:07.316Z,12.0,12.827586206896552,100.64682,13.77139,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
"เขตบางกะปิ,ฝ่ายโยธา เขตบางกะปิ,ผอ.เขตบางกะปิ (นายไพรัตน์),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",บางกะปิ,2022-07-25T07:41:56.606Z,12.0,12.827586206896552,100.63417,13.78984,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7
"เขตบางขุนเทียน,สำนักการโยธา กทม.",บางขุนเทียน,2022-07-25T07:46:33.799Z,24.0,12.827586206896552,100.46111,13.61003,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7
"กองโครงการสายอากาศเป็นสายใต้ดิน1 ฝ่ายบริหารโครงการ การไฟฟ้านครหลวง (กคต.1 ฝบค. กฟน.),สำนักการโยธา กทม.,การไฟฟ้านครหลวง เขตคลองเตย,เขตปทุมวัน,การไฟฟ้านครหลวง MEA,กองแผนงานและประสานสาธารณูปโภค สำนักการโยธา (กผภ.สนย.) กทม.,การไฟฟ้านครหลวง ฝ่ายบริหารโครงการ",ปทุมวัน,2022-07-25T07:46:55.126Z,19.0,12.827586206896552,100.5473,13.74174,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
"เขตห้วยขวาง,สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200)",ห้วยขวาง,2022-07-25T07:47:09.824Z,9.0,12.827586206896552,100.57683,13.74643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
"เขตบางกะปิ,ฝ่ายโยธา เขตบางกะปิ,ผอ.เขตบางกะปิ (นายไพรัตน์),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",บางกะปิ,2022-07-25T07:54:28.849Z,12.0,12.827586206896552,100.61226,13.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
"เขตยานนาวา,สน.บางโพงพาง,สำนักงานตำรวจแห่งชาติ (Royal Thai Police),กองบัญชาการตำรวจนครบาล (บช.น.),กองบังคับการตำรวจนครบาล 5 (บก.น.5),ผอ.เขตยานนาวา (น.ส.วรุณลักษม์),กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร)",ยานนาวา,2022-07-25T07:55:13.212Z,20.0,12.827586206896552,100.53835,13.69443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
"เขตบางกะปิ,ฝ่ายโยธา เขตบางกะปิ,ผอ.เขตบางกะปิ (นายไพรัตน์),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",บางกะปิ,2022-07-25T07:56:26.562Z,12.0,12.827586206896552,100.61226,13.75,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
"เขตธนบุรี,เขตคลองสาน,สำนักสิ่งแวดล้อม กทม.,ผอ.เขตคลองสาน (ว่าที่ ร.ต.สรวุฒิ),ผอ.เขตธนบุรี (ว่าที่ ร.ต.เดชาธร),กลุ่มกรุงธนเหนือ (นายเฉลิมพล โชตินุชิต)",ธนบุรี,2022-07-25T08:13:45.595Z,15.5,12.827586206896552,100.48825,13.70262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
"เขตบางกะปิ,ฝ่ายโยธา เขตบางกะปิ,ผอ.เขตบางกะปิ (นายไพรัตน์),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",บางกะปิ,2022-07-25T08:14:08.157Z,12.0,12.827586206896552,100.61226,13.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8
"เขตปทุมวัน,ฝ่ายรักษาความสะอาดฯ เขตปทุมวัน",ปทุมวัน,2022-07-25T08:18:15.698Z,19.0,12.827586206896552,100.55084,13.72711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
"เขตบางซื่อ,สน.เตาปูน,สำนักงานตำรวจแห่งชาติ (Royal Thai Police),กองบัญชาการตำรวจนครบาล (บช.น.),กองบังคับการตำรวจนครบาล 2 (บก.น.2),ผอ.เขตบางซื่อ (นายเจษฎา),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ)",บางซื่อ,2022-07-25T08:18:19.860Z,9.0,12.827586206896552,100.52404,13.80585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
"เขตบางขุนเทียน,ผอ.เขตบางขุนเทียน (นางภัสรา),กลุ่มกรุงธนใต้ (นายเฉลิมพล โชตินุชิต)",บางขุนเทียน,2022-07-25T08:33:46.690Z,24.0,12.827586206896552,100.43285,13.62968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
"เขตดินแดง,สน.สุทธิสาร,สำนักงานตำรวจแห่งชาติ (Royal Thai Police),กองบัญชาการตำรวจนครบาล (บช.น.),กองบังคับการตำรวจนครบาล 2 (บก.น.2),ผอ.เขตดินแดง (นายชูชาติ),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร)",ดินแดง,2022-07-25T08:34:12.036Z,18.5,12.827586206896552,100.57387,13.78963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
"เขตบางขุนเทียน,ผอ.เขตบางขุนเทียน (นางภัสรา),กลุ่มกรุงธนใต้ (นายเฉลิมพล โชตินุชิต)",บางขุนเทียน,2022-07-25T08:38:00.855Z,24.0,12.827586206896552,100.46566,13.63082,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
"เขตบางกะปิ,สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200)",บางกะปิ,2022-07-25T08:41:26.470Z,12.0,12.827586206896552,100.64487,13.77594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8
"เขตดินแดง,สำนักการระบายน้ำ กทม.,ฝ่ายโยธา เขตดินแดง,ผอ.เขตดินแดง (นายชูชาติ),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร)",ดินแดง,2022-07-25T08:57:19.873Z,18.5,12.827586206896552,100.56593,13.78949,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8
"เขตธนบุรี,สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส. กทม.),กองนโยบายและแผนงาน กน.สจส. กทม.,ผอ.เขตธนบุรี (ว่าที่ ร.ต.เดชาธร),กลุ่มกรุงธนเหนือ (นายเฉลิมพล โชตินุชิต)",ธนบุรี,2022-07-25T09:03:08.667Z,15.5,12.827586206896552,100.48119,13.71714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
"เขตบางนา,ฝ่ายเทศกิจ เขตบางนา,ผอ.เขตบางนา (นางประภัสสร),กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร)",บางนา,2022-07-25T09:05:24.433Z,11.5,12.827586206896552,100.59535,13.66902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
"เขตบางขุนเทียน,สำนักการโยธา กทม.,ผอ.เขตบางขุนเทียน (นางภัสรา),กลุ่มกรุงธนใต้ (นายเฉลิมพล โชตินุชิต),กองควบคุมการก่อสร้าง สำนักการโยธา (กคส.สนย.) กทม.,กลุ่มงานควบคุมการก่อสร้าง 4 กองควบคุมการก่อสร้าง (กคส.สนย.)",บางขุนเทียน,2022-07-25T09:11:10.379Z,24.0,12.827586206896552,100.38215,13.61431,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
"เขตห้วยขวาง,ฝ่ายสิ่งแวดล้อมฯ เขตห้วยขวาง,ผอ.เขตห้วยขวาง (นายไพฑูรย์),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร)",ห้วยขวาง,2022-07-25T09:14:32.019Z,9.0,12.827586206896552,100.56797,13.76181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9
"เขตบางขุนเทียน,ผอ.เขตบางขุนเทียน (นางภัสรา),กลุ่มกรุงธนใต้ (นายเฉลิมพล โชตินุชิต)",บางขุนเทียน,2022-07-25T09:33:35.682Z,24.0,12.827586206896552,100.44875,13.66753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
"เขตบางขุนเทียน,ผอ.เขตบางขุนเทียน (นางภัสรา),กลุ่มกรุงธนใต้ (นายเฉลิมพล โชตินุชิต)",บางขุนเทียน,2022-07-25T09:35:35.888Z,24.0,12.827586206896552,100.4487,13.66759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
"สกสกรรสสญ,ฝ่ายโยธา เขตพญาไท,การประปานครหลวง กปน. (Metropolitan Waterworks Authority - MWA),เขตพญาไท,ผอ.เขตพญาไท (นายพัลลภ),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร),สำนักงานประปาสาขาพญาไท สสญ.",พญาไท,2022-07-25T09:39:56.275Z,10.5,12.827586206896552,100.55923,13.79177,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
"เขตพญาไท,ฝ่ายรักษาความสะอาดฯ เขตพญาไท,ผอ.เขตพญาไท (นายพัลลภ),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร)",พญาไท,2022-07-25T09:40:22.259Z,10.5,12.827586206896552,100.54967,13.7938,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
"เขตบางนา,กรมทางหลวง",บางนา,2022-07-25T09:44:57.560Z,11.5,12.827586206896552,100.6036,13.66487,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
