organization,district,timestamp,pm25_value,pm25_citywide,latitude,longitude,flag_ถนน,flag_ทางเท้า,flag_แสงสว่าง,flag_ความสะอาด,flag_ขยะ,flag_น้ำท่วม,flag_ระบายน้ำ,flag_จราจร,flag_สายไฟ,flag_ต้นไม้,flag_ความปลอดภัย,flag_สัตว์,flag_เสียง,flag_กลิ่น,flag_สะพาน,flag_คลอง,report_hour
"เขตดินแดง,ฝ่ายโยธา เขตดินแดง,ผอ.เขตดินแดง (นายชูชาติ),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร)",ดินแดง,2022-12-13T07:12:47.620Z,26.0,26.658227848101266,100.55936,13.77417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
"เขตบางซื่อ,ฝ่ายเทศกิจ เขตบางซื่อ,ฝ่ายรักษาความสะอาดฯ เขตบางซื่อ,ผอ.เขตบางซื่อ (นายเจษฎา),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ)",บางซื่อ,2022-12-13T07:31:56.853Z,28.0,26.658227848101266,100.53133,13.82338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
"เขตธนบุรี,สำนักการโยธา กทม.,ผอ.เขตธนบุรี (ว่าที่ ร.ต.เดชาธร),กลุ่มกรุงธนเหนือ (นายเฉลิมพล โชตินุชิต),ศูนย์ก่อสร้างและบูรณะถนน 2 ส่วนก่อสร้างและบูรณะ 2 สำนักงานก่อสร้างและบูรณะ (สกบ.สนย.),กลุ่มงานควบคุมการก่อสร้าง 4 กองควบคุมการก่อสร้าง (กคส.สนย.)",ธนบุรี,2022-12-13T08:04:29.984Z,29.0,26.658227848101266,100.47857,13.71357,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
"เขตบางซื่อ,ฝ่ายรักษาความสะอาดฯ เขตบางซื่อ,ผอ.เขตบางซื่อ (นายเจษฎา),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ)",บางซื่อ,2022-12-13T08:30:31.731Z,28.0,26.658227848101266,100.53966,13.83742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8
"เขตบางนา,ฝ่ายเทศกิจ เขตบางนา,ผอ.เขตบางนา (นางประภัสสร),กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร)",บางนา,2022-12-13T08:59:34.699Z,34.5,26.658227848101266,100.61493,13.67876,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
"เขตบางนา,ผอ.เขตบางนา (นางประภัสสร),กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร)",บางนา,2022-12-13T09:00:52.142Z,34.5,26.658227848101266,100.61574,13.67868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
"เขตบางนา,สำนักการโยธา กทม.,สำนักงานก่อสร้างและบูรณะ สำนักการโยธา (สกบ.สนย.) กทม.,ศูนย์เครื่องมือกล ส่วนก่อสร้างและบูรณะ 1 สำนักงานก่อสร้างและบูรณะ (สกบ.สนย.)",บางนา,2022-12-13T09:06:52.022Z,34.5,26.658227848101266,100.61178,13.6788,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
"เขตบางซื่อ,กลุ่มงานสัญญาณไฟจราจร สวจ.สจส. กทม.,สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส. กทม.),สำนักงานวิศวกรรมจราจร สวจ.สจส. กทม.,ผอ.เขตบางซื่อ (นายเจษฎา),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ)",บางซื่อ,2022-12-13T09:08:52.715Z,28.0,26.658227848101266,100.53897,13.83041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9
"เขตธนบุรี,ฝ่ายโยธา เขตธนบุรี,ผอ.เขตธนบุรี (ว่าที่ ร.ต.เดชาธร),กลุ่มกรุงธนเหนือ (นายเฉลิมพล โชตินุชิต)",ธนบุรี,2022-12-13T09:09:00.669Z,29.0,26.658227848101266,100.47217,13.71169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
"เขตบางนา,สำนักการโยธา กทม.",บางนา,2022-12-13T09:10:07.104Z,34.5,26.658227848101266,100.61223,13.67881,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
